t,x_meters,y_meters
0.0000,3.1124,9.6388
0.0333,19.6768,10.0869
0.4667,29.2667,0.0000
0.5000,24.2510,4.9040
0.5333,29.2667,0.0000
0.5667,2.0987,8.5584
0.6000,0.7822,7.5219
0.6333,9.4921,16.0266
0.6667,2.0987,8.5584
0.7000,1.2873,8.8240
0.7333,13.2727,0.6681
0.7667,30.0000,6.7382
0.8000,27.9761,8.0386
0.8333,0.0000,7.7811
0.8667,10.7550,9.7366
0.9000,0.0000,7.7811
0.9333,10.7550,9.7366
0.9667,10.7550,9.7366
1.0000,10.7469,9.7447
1.0333,13.8267,1.0592
1.0667,29.1200,7.0175
1.1000,14.4052,16.8495
1.1333,21.9011,10.6573
1.1667,21.9011,10.6573
1.2000,21.9011,10.6573
1.2333,11.2194,15.0733
1.2667,14.2569,4.8789
1.3000,14.3439,4.8698
1.3333,14.3439,4.8698
1.3667,9.9158,15.3341
1.4000,25.7387,3.0554
1.4333,25.7387,3.0554
1.4667,26.9075,0.1584
1.5000,26.9075,0.1584
1.5333,3.6746,11.6920
1.5667,26.9075,0.1584
1.6000,26.9075,0.1584
1.6333,28.1532,6.5535
1.6667,28.1532,6.5535
1.7000,26.6583,0.5364
1.7333,14.1445,15.9195
1.7667,14.1445,15.9195
1.8000,14.1445,15.9195
1.8333,26.6594,0.5296
1.8667,14.1433,15.9194
1.9000,14.1433,15.9194
1.9333,27.0424,0.4644
1.9667,28.8792,6.1389
2.0000,26.9966,0.4590
2.0333,26.9966,0.4590
2.0667,26.9966,0.4590
2.1000,26.9966,0.4590
2.1333,26.9966,0.4590
2.1667,9.2419,14.9139
2.2000,26.9966,0.4590
2.2333,26.9966,0.4590
2.2667,24.9728,1.9718
2.3000,26.0239,0.2917
2.3333,12.8653,17.2325
2.3667,12.8653,17.2325
2.4000,12.8653,17.2325
2.4333,12.8653,17.2325
2.4667,12.8653,17.2325
2.5000,12.8653,17.2325
2.5333,12.8653,17.2325
2.5667,12.8653,17.2325
2.6000,12.8653,17.2325
2.6333,12.8653,17.2325
2.6667,12.8653,17.2325
2.7000,12.8653,17.2325
2.7333,12.8653,17.2325
2.7667,12.8653,17.2325
2.8000,12.8734,17.2304
2.8333,12.9712,15.1373
2.8667,12.9875,15.1350
2.9000,6.2575,17.2325
2.9333,6.2575,17.2325
2.9667,6.2575,17.2325
3.0000,6.2575,17.2325
3.0333,6.2575,17.2325
3.0667,8.6122,17.2325
3.1000,8.6122,17.2325
3.1333,8.6122,17.2325
3.1667,8.6448,17.2325
3.2000,8.6122,17.2325
3.2333,8.6122,17.2325
3.2667,8.6366,17.2488
3.3000,8.6122,17.2488
3.3333,8.6285,17.2488
3.3667,8.6285,17.2488
3.4000,8.6285,17.2488
3.4333,8.6285,17.2488
3.4667,8.6285,17.2488
3.5000,6.2086,17.2461
3.5333,8.6285,17.2488
3.5667,14.5845,14.8615
3.6000,14.5845,14.8615
3.6333,14.5845,14.8615
3.6667,14.5845,14.8615
3.7000,14.5845,14.8615
3.7333,12.5149,15.3992
3.7667,12.5149,15.3992
3.8000,12.5149,15.3992
3.9667,12.4905,15.3829
