t,x_meters,y_meters
0.0339,7.9240,6.0265
0.0677,1.7956,6.9151
0.1016,8.4943,1.8636
0.1354,8.4561,1.8254
0.1693,8.2905,4.7926
0.2031,15.1675,11.6462
0.2370,14.5052,11.3533
0.2708,9.4416,4.0733
0.3047,15.5240,1.7617
0.3385,3.8715,2.8611
0.3724,13.8558,1.5951
0.4062,1.1844,4.4318
0.4401,22.5587,6.8240
0.4739,8.2842,6.2083
0.5078,7.7811,4.2068
0.5416,2.3354,5.6779
0.5755,15.8453,13.3364
0.6093,2.6616,12.9134
0.6432,7.3700,6.1219
0.6770,22.6175,10.5574
0.7109,3.0055,3.2602
0.7448,22.5602,7.6856
0.7786,13.1108,4.5146
0.8125,13.5565,11.0222
0.8463,11.3215,5.1641
0.8802,12.3798,4.0457
0.9140,20.7503,13.2170
0.9479,9.8951,3.9670
0.9817,22.6351,7.2825
1.0156,16.7812,6.7969
1.0494,10.9904,5.2723
1.0833,9.0916,1.1765
1.1171,15.7327,3.1054
1.1510,8.8084,0.2080
1.1848,22.8976,12.5695
1.2187,5.1959,6.0025
1.2525,2.6680,8.8190
1.2864,23.0759,13.4279
1.3202,15.2821,2.9609
1.3541,4.2117,4.9121
1.3879,10.8297,1.5517
1.4218,23.7445,13.2165
1.4557,23.7700,13.2254
1.4895,0.0891,1.2608
1.5234,16.8899,5.9123
1.5572,16.8287,6.5303
1.5911,5.1959,0.0000
1.6249,13.6647,10.8312
1.6588,7.5965,12.9261
1.6926,22.5120,0.9388
1.7265,1.8812,6.8224
1.7603,13.7157,10.7144
1.7942,9.7423,0.7323
1.8280,9.8598,1.1235
1.8619,3.7363,4.9902
1.8957,13.9467,2.0358
1.9296,13.9449,2.0121
1.9634,2.7508,7.9944
1.9973,13.9513,1.9739
2.0311,9.6532,0.1910
2.0650,1.9768,6.8288
2.0989,2.4961,5.2532
2.1327,2.4210,7.2040
2.1666,3.6295,12.7414
2.2004,7.0835,9.2994
2.2343,22.9868,9.4791
2.2681,7.3530,8.5305
2.3020,6.8324,9.0928
2.3358,2.0567,6.8706
2.3697,8.9782,4.8393
2.4035,3.5749,1.6392
2.4374,4.6356,2.1268
2.4712,5.6009,6.0975
2.5051,14.2251,10.3579
2.5389,8.2141,0.4500
2.5728,3.3239,10.2390
2.6066,14.2251,10.3504
2.6405,23.0314,9.2266
2.6743,17.1414,12.7648
2.7082,3.8891,2.2012
2.7420,4.1898,2.4324
2.7759,3.5580,7.0151
2.8098,22.9486,9.9121
2.8436,0.0000,8.4497
2.8775,2.0467,3.6895
2.9113,2.5470,10.6592
2.9452,14.1996,10.5860
2.9790,23.7509,3.0118
3.0129,0.1783,5.4294
3.0467,16.6002,9.1931
3.0806,10.4859,1.2588
3.1144,4.5464,1.2353
3.1483,4.1480,5.6889
3.1821,11.5161,8.7071
3.2160,10.6083,3.2283
3.2498,10.6083,3.2283
3.2837,22.8085,3.3026
3.3175,13.0598,1.9548
3.3514,9.5131,11.2037
3.3852,9.2868,6.2686
3.4191,0.3056,3.1137
3.4529,11.4389,8.3952
3.4868,14.6165,2.9197
3.5207,8.4688,7.1635
3.5545,12.8497,1.0443
3.5884,8.8509,7.4670
3.6222,15.5673,1.1054
3.6561,10.4763,1.6341
3.6899,13.8812,5.6162
3.7238,13.8812,5.6162
3.7576,13.6775,13.1222
3.7915,11.5825,2.5088
3.8253,13.8812,5.6162
3.8592,10.5667,1.8050
3.8930,12.9834,1.3690
3.9269,12.9579,2.5215
3.9607,12.9643,2.5534
3.9946,13.0320,1.5334
4.0284,13.0471,1.6365
4.0623,20.1900,0.4438
4.0961,2.2159,8.0931
4.1300,13.0534,1.8657
4.1638,14.0595,9.1310
4.1977,5.5398,9.7211
4.2316,11.0717,2.9780
4.2654,21.8024,11.9879
4.2993,11.0717,2.9780
4.3331,11.0717,2.9780
4.3670,15.8198,3.3522
4.4008,14.0135,2.3540
4.4347,6.7751,1.1907
4.4685,12.3621,2.2377
4.5024,2.7762,2.1310
4.5362,21.2676,9.4409
4.5701,9.1274,1.5246
4.6039,22.9219,3.2268
4.6378,19.9013,8.7454
4.6716,21.1324,12.9241
4.7055,6.3357,3.4194
4.7393,12.9261,10.9437
4.7732,2.2923,4.3363
4.8070,2.5852,3.9139
4.8409,3.5835,9.3838
4.8747,0.8199,6.8368
4.9086,12.9261,10.9437
4.9425,12.9261,10.9437
4.9763,12.9261,10.9437
5.0102,15.8176,0.8050
5.0440,2.4069,12.1026
5.0779,0.4075,4.8690
5.1117,10.8339,3.2947
5.1456,19.6693,9.5067
5.1794,12.9643,10.1053
5.2133,3.7787,0.6586
5.2471,3.7787,0.6586
